Bin  # ,minE,maxE,numu,anti-numu,nue,anti-nue
80, 0.79, 0.80, 4.85e05, 2.23e04, 4.21e03, 4.92e02
81, 0.80, 0.82, 4.24e05, 2.19e04, 4.09e03, 4.83e02
82, 0.82, 0.84, 3.57e05, 2.09e04, 4.01e03, 4.81e02
83, 0.84, 0.86, 2.99e05, 2.00e04, 3.85e03, 4.80e02
84, 0.86, 0.88, 2.53e05, 2.00e04, 3.72e03, 4.73e02
85, 0.88, 0.90, 2.17e05, 1.96e04, 3.59e03, 4.67e02
86, 0.90, 0.95, 1.73e05, 1.88e04, 3.40e03, 4.63e02
87, 0.95, 1.00, 1.31e05, 1.71e04, 3.11e03, 4.47e02
88, 1.00, 1.05, 1.06e05, 1.59e04, 2.82e03, 4.40e02
89, 1.05, 1.10, 8.86e04, 1.47e04, 2.56e03, 4.28e02
90, 1.10, 1.15, 7.51e04, 1.34e04, 2.32e03, 4.18e02
91, 1.15, 1.20, 6.50e04, 1.25e04, 2.16e03, 4.05e02
92, 1.20, 1.30, 5.32e04, 1.10e04, 1.89e03, 3.91e02
93, 1.30, 1.40, 4.28e04, 9.44e03, 1.65e03, 3.72e02
94, 1.40, 1.50, 3.54e04, 8.06e03, 1.48e03, 3.51e02
95, 1.50, 1.60, 2.96e04, 7.00e03, 1.37e03, 3.35e02
96, 1.60, 1.70, 2.55e04, 6.06e03, 1.27e03, 3.17e02
97, 1.70, 1.80, 2.28e04, 5.45e03, 1.20e03, 3.00e02
98, 1.80, 1.90, 2.00e04, 4.87e03, 1.14e03, 2.85e02
99, 1.90, 2.00, 1.80e04, 4.56e03, 1.09e03, 2.68e02
100, 2.00, 2.10, 1.61e04, 4.15e03, 1.03e03, 2.52e02
101, 2.10, 2.20, 1.49e04, 3.70e03, 9.89e02, 2.38e02
102, 2.20, 2.30, 1.37e04, 3.37e03, 9.46e02, 2.22e02
103, 2.30, 2.40, 1.28e04, 3.03e03, 8.98e02, 2.08e02
104, 2.40, 2.60, 1.18e04, 2.60e03, 8.29e02, 1.89e02
105, 2.60, 2.80, 1.09e04, 2.06e03, 7.43e02, 1.66e02
106, 2.80, 3.00, 1.02e04, 1.72e03, 6.50e02, 1.45e02
107, 3.00, 3.20, 9.76e03, 1.40e03, 5.68e02, 1.27e02
108, 3.20, 3.40, 9.32e03, 1.15e03, 4.90e02, 1.12e02
109, 3.40, 3.60, 9.08e03, 9.75e02, 4.19e02, 9.74e01
110, 3.60, 3.80, 8.76e03, 8.49e02, 3.50e02, 8.36e01
111, 3.80, 4.00, 8.45e03, 7.07e02, 3.00e02, 7.45e01
112, 4.00, 4.50, 7.65e03, 5.59e02, 2.21e02, 5.78e01
113, 4.50, 5.00, 5.90e03, 4.09e02, 1.44e02, 4.04e01
114, 5.00, 6.00, 3.42e03, 2.57e02, 8.08e01, 2.48e01
115, 6.00, 7.00, 1.82e03, 1.39e02, 3.73e01, 1.25e01
116, 7.00, 8.00, 1.02e03, 8.11e01, 1.76e01, 6.37e00
117, 8.00, 9.00, 5.65e02, 4.51e01, 8.38e00, 3.23e00
118, 9.00, 10.00, 3.10e02, 2.59e01, 3.86e00, 1.56e00
119, 10.00, 11.00, 1.70e02, 1.34e01, 1.94e00, 8.12e-01
120, 11.00, 12.00, 9.75e01, 6.98e00, 9.40e-01, 4.26e-01
121, 12.00, 13.00, 5.73e01, 3.42e00, 4.34e-01, 2.15e-01
122, 13.00, 14.00, 2.94e01, 2.12e00, 1.92e-01, 7.64e-02
123, 14.00, 15.00, 1.56e01, 1.86e00, 9.63e-02, 6.19e-02
124, 15.00, 16.00, 8.33e00, 1.32e00, 5.25e-02, 2.64e-02
125, 16.00, 17.00, 5.08e00, 4.76e-01, 3.67e-02, 1.95e-02
126, 17.00, 18.00, 2.50e00, 4.79e-01, 1.40e-02, 9.75e-03
127, 18.00, 19.00, 1.29e00, 9.68e-02, 9.18e-04, 0.00e00
128, 19.00, 20.00, 6.99e-01, 1.49e-02, 5.91e-05, 1.09e-04
129, 20.00, 21.00, 8.05e-02, 6.23e-02, 1.78e-05, 1.32e-05
130, 21.00, 22.00, 2.29e-02, 0.00e00, 0.00e00, 5.17e-07
131, 22.00, 23.00, 1.78e-03, 0.00e00, 0.00e00, 0.00e00
132, 23.00, 24.00, 1.28e-02, 0.00e00, 0.00e00, 0.00e00
133, 24.00, 25.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
134, 25.00, 26.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
135, 26.00, 27.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
136, 27.00, 28.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
137, 28.00, 29.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
138, 29.00, 30.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
